ID,DESCRIPTION,QUANTITY,UNIT_PRICE,TAX,RCV,DEPREC,ACV
61,"R&R Roof vent - off ridge type - 6'",1.00,EA,208.77,7.13,215.90,(0.00),215.90
62,"R&R Roof vent - off ridge type - 4'",1.00,EA,150.88,5.12,156.00,(0.00),156.00
63,"R&R Roof vent - off ridge type - 2'",1.00,EA,96.03,3.36,99.39,(0.00),99.39
64,"R&R Roof vent - dormer type - Metal",1.00,EA,93.87,3.41,97.28,(0.00),97.28
65,"R&R Roof vent - turbine type",1.00,EA,165.13,9.27,174.40,(0.00),174.40
66,"Roof mount power attic vent - Detach & reset",1.00,EA,168.26,0.00,168.26,(0.00),168.26
67,"R&R Roof mount power attic vent - Large",1.00,EA,330.28,17.07,347.35,(0.00),347.35
68,"R&R Roof mount power attic vent",1.00,EA,274.76,12.07,286.83,(0.00),286.83
69,"R&R Exhaust cap - through roof - up to 4""",1.00,EA,101.98,3.58,105.56,(0.00),105.56
70,"R&R Exhaust cap - through roof - 6"" to 8""",1.00,EA,113.63,4.63,118.26,(0.00),118.26
71,"R&R Flashing - rain diverter",1.00,EA,55.70,1.36,57.06,(0.00),57.06
72,"R&R Flashing - kick-out diverter",1.00,EA,33.21,1.16,34.37,(0.00),34.37
73,"R&R Flashing - pipe jack - copper",1.00,EA,103.42,5.65,109.07,(0.00),109.07
74,"R&R Flashing - pipe jack - lead",1.00,EA,93.82,4.78,98.60,(0.00),98.60
75,"R&R Flashing - pipe jack - 6""",1.00,EA,75.21,3.11,78.32,(0.00),78.32
76,"R&R Flashing - pipe jack - 8""",1.00,EA,86.68,4.14,90.82,(0.00),90.82
77,"R&R Flashing - pipe jack - split boot",1.00,EA,96.81,4.63,101.44,(0.00),101.44
78,"R&R Power attic vent cover only - metal",1.00,EA,113.03,3.45,116.48,(0.00),116.48
79,"R&R Power attic vent cover only - plastic",1.00,EA,101.29,2.39,103.68,(0.00),103.68
80,"Power attic vent cover only - Detach & reset",1.00,EA,62.00,0.00,62.00,(0.00),62.00
81,"R&R Rain cap - 10""",1.00,EA,94.23,6.32,100.55,(0.00),100.55
